2025-03-07 20:49:56,worked really really hard
2025-03-08 04:56:06,Added some awesome artwork to this project. 
2025-03-08 05:24:18,clear
2025-03-08 05:26:14,added a menu
2025-03-08 08:59:41,nothing
2025-03-08 14:17:46,made some functions!
2025-03-08 14:19:25,Loved life
2025-03-08 14:19:59,Everything!
2025-03-08 19:46:54,loved life all day everyday
2025-03-08 19:49:03,Drank some Evan Williams.
2025-03-08 19:49:32,hello world
2025-03-08 21:46:03,Updated this script
2025-03-08 21:50:26,updated the script
2025-03-08 22:01:42,Made a while Loop
2025-03-08 22:10:08,Added white space
2025-03-08 22:12:18,Used carriage return over new line
